,Slogan,SlogansToList,IndexEncoded
8188,The thickest Purex ever,"['The', 'thickest', 'Purex', 'ever']","[13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8189,Purex Long on value,"['Purex', 'Long', 'on', 'value']","[13916, 13916, 13916, 13308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8190,Cottonelle Looking out for the family,"['Cottonelle', 'Looking', 'out', 'for', 'the', 'family']","[13916, 13916, 13916, 13916, 13916, 4461, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8191,Velvet Love your Bum,"['Velvet', 'Love', 'your', 'Bum']","[13357, 7246, 13916, 1592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8192,The toilet tissue that really cares for Downunder,"['The', 'toilet', 'tissue', 'that', 'really', 'cares', 'for', 'Downunder']","[13916, 12615, 12596, 13916, 13916, 1780, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0]"
8193,Quilted Northern It's all in the quilting,"['Quilted', 'Northern', ""It's"", 'all', 'in', 'the', 'quilting']","[13916, 8249, 13916, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8194,The power toothbrush more dentists use,"['The', 'power', 'toothbrush', 'more', 'dentists', 'use']","[13916, 9325, 12640, 13916, 3284, 13267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8195,Recharge your smile,"['Recharge', 'your', 'smile']","[9951, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8196,Brush like a dentist,"['Brush', 'like', 'a', 'dentist']","[1539, 7099, 13916, 3284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8197,Better bristles beautiful teeth,"['Better', 'bristles', 'beautiful', 'teeth']","[13916, 13916, 1010, 12376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8198,Now you can brush your teeth anytime anywhere,"['Now', 'you', 'can', 'brush', 'your', 'teeth', 'anytime', 'anywhere']","[13916, 13916, 1717, 1539, 13916, 12376, 486, 13916, 0, 0, 0, 0, 0, 0, 0, 0]"
8199,Turn on a healthy smile,"['Turn', 'on', 'a', 'healthy', 'smile']","[12899, 13916, 13916, 5679, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8200,Smart technology brilliant results,"['Smart', 'technology', 'brilliant', 'results']","[11345, 12365, 1494, 10299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8201,A clean you can feel,"['A', 'clean', 'you', 'can', 'feel']","[13916, 2174, 13916, 1717, 4543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8202,Cleans more than just teeth,"['Cleans', 'more', 'than', 'just', 'teeth']","[13916, 13916, 13916, 13916, 12376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8203,For a whole mouth clean,"['For', 'a', 'whole', 'mouth', 'clean']","[13916, 13916, 13692, 7958, 2174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8204,Brush Whiten Go,"['Brush', 'Whiten', 'Go']","[1539, 13916, 5249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8205,Because your smile was meant to last a lifetime,"['Because', 'your', 'smile', 'was', 'meant', 'to', 'last', 'a', 'lifetime']","[13916, 13916, 11354, 13916, 13916, 13916, 13916, 13916, 7083, 0, 0, 0, 0, 0, 0, 0]"
8206,The power to clean better,"['The', 'power', 'to', 'clean', 'better']","[13916, 9325, 13916, 2174, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8207,India's largest selling toothbrush,"[""India's"", 'largest', 'selling', 'toothbrush']","[13916, 13916, 13916, 12640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8208,Stick with technology,"['Stick', 'with', 'technology']","[11825, 13916, 12365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8209,Dental professionals love it and so will you,"['Dental', 'professionals', 'love', 'it', 'and', 'so', 'will', 'you']","[3283, 9512, 7246, 13916, 13916, 13916, 13722, 13916, 0, 0, 0, 0, 0, 0, 0, 0]"
8210,Make brushing fun,"['Make', 'brushing', 'fun']","[7366, 13916, 5008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8211,The one and only,"['The', 'one', 'and', 'only']","[13916, 8418, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8212,Don't just brush reach,"[""Don't"", 'just', 'brush', 'reach']","[13916, 13916, 1539, 9896, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8213,The clean teeth toothbrush,"['The', 'clean', 'teeth', 'toothbrush']","[13916, 2174, 12376, 12640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8214,Fits like a glove,"['Fits', 'like', 'a', 'glove']","[13916, 7099, 13916, 5240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8215,Helps maintain a dentist clean,"['Helps', 'maintain', 'a', 'dentist', 'clean']","[13916, 7360, 13916, 3284, 2174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8216,Fits between to get teeth clean,"['Fits', 'between', 'to', 'get', 'teeth', 'clean']","[13916, 13916, 13916, 5167, 12376, 2174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8217,Two heads are really better than one,"['Two', 'heads', 'are', 'really', 'better', 'than', 'one']","[12940, 5656, 13916, 13916, 13916, 13916, 8418, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8218,Don't just brush Spinbrush,"[""Don't"", 'just', 'brush', 'Spinbrush']","[13916, 13916, 1539, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8219,You never know when you'll need that Jordan smile,"['You', 'never', 'know', 'when', ""you'll"", 'need', 'that', 'Jordan', 'smile']","[13916, 13916, 6860, 13916, 13916, 8112, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0]"
8220,Jordan knows how,"['Jordan', 'knows', 'how']","[13916, 6860, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8221,Clean,['Clean'],"[2174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8222,Makes kids want to brush,"['Makes', 'kids', 'want', 'to', 'brush']","[13916, 6803, 13546, 13916, 1539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8223,Royal Smile specialists,"['Royal', 'Smile', 'specialists']","[10516, 11354, 11559, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8224,Completely dental about brushes,"['Completely', 'dental', 'about', 'brushes']","[13916, 3283, 13916, 1539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8225,Hugs your teeth loves your gums,"['Hugs', 'your', 'teeth', 'loves', 'your', 'gums']","[13916, 13916, 12376, 7246, 13916, 5484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8226,Blast your brush clean,"['Blast', 'your', 'brush', 'clean']","[1204, 13916, 1539, 2174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8227,For gentle dental care,"['For', 'gentle', 'dental', 'care']","[13916, 5149, 3283, 1780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8228,The power behind a white smile,"['The', 'power', 'behind', 'a', 'white', 'smile']","[13916, 9325, 13916, 13916, 13687, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8229,Three toothbrushes in one for whole mouth protection,"['Three', 'toothbrushes', 'in', 'one', 'for', 'whole', 'mouth', 'protection']","[12517, 12640, 13916, 8418, 13916, 13692, 7958, 9592, 0, 0, 0, 0, 0, 0, 0, 0]"
8230,So clean you can feel it,"['So', 'clean', 'you', 'can', 'feel', 'it']","[13916, 2174, 13916, 1717, 4543, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8231,It stays on the job fighting cavities,"['It', 'stays', 'on', 'the', 'job', 'fighting', 'cavities']","[13916, 11782, 13916, 13916, 6703, 13916, 1871, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8232,Colgate helps stop cavities before they start,"['Colgate', 'helps', 'stop', 'cavities', 'before', 'they', 'start']","[13916, 5734, 11869, 1871, 13916, 13916, 11755, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8233,Cleans more than just teeth,"['Cleans', 'more', 'than', 'just', 'teeth']","[13916, 13916, 13916, 13916, 12376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8234,Fights germs for 12 hours,"['Fights', 'germs', 'for', '12', 'hours']","[13916, 5164, 13916, 13916, 5951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8235,A healthier mouth day in day out,"['A', 'healthier', 'mouth', 'day', 'in', 'day', 'out']","[13916, 13916, 7958, 3100, 13916, 3100, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8236,Whole mouth health,"['Whole', 'mouth', 'health']","[13692, 7958, 5677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8237,Choose the healthier side of whitening,"['Choose', 'the', 'healthier', 'side', 'of', 'whitening']","[2066, 13916, 13916, 11143, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8238,Removes stains 30 better,"['Removes', 'stains', '30', 'better']","[13916, 11712, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8239,Stop numbing Start repairing,"['Stop', 'numbing', 'Start', 'repairing']","[11869, 13916, 11755, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8240,Everyday protection for sensitive teeth,"['Everyday', 'protection', 'for', 'sensitive', 'teeth']","[4258, 9592, 13916, 10922, 12376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8241,For superstars like you,"['For', 'superstars', 'like', 'you']","[13916, 12103, 7099, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8242,A lesson learnt young is a lesson for life,"['A', 'lesson', 'learnt', 'young', 'is', 'a', 'lesson', 'for', 'life']","[13916, 7039, 13916, 13886, 13916, 13916, 7039, 13916, 7073, 0, 0, 0, 0, 0, 0, 0]"
8243,Smile with strength,"['Smile', 'with', 'strength']","[11354, 13916, 11913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8244,Pure Fresh Clean,"['Pure', 'Fresh', 'Clean']","[9701, 4947, 2174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8245,What a refreshing idea,"['What', 'a', 'refreshing', 'idea']","[13916, 13916, 10048, 6076, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8246,Packed to the max with freshness,"['Packed', 'to', 'the', 'max', 'with', 'freshness']","[13916, 13916, 13916, 13916, 13916, 4951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8247,Switch on the power of freshness,"['Switch', 'on', 'the', 'power', 'of', 'freshness']","[12204, 13916, 13916, 9325, 13916, 4951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8248,Save the world from cavities,"['Save', 'the', 'world', 'from', 'cavities']","[10681, 13916, 13820, 13916, 1871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8249,Everyday protection against time,"['Everyday', 'protection', 'against', 'time']","[4258, 9592, 13916, 12569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8250,The breath freshening cavity fighter,"['The', 'breath', 'freshening', 'cavity', 'fighter']","[13916, 1461, 13916, 1871, 4610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8251,1 dentist recommended brand for sensitive teeth,"['1', 'dentist', 'recommended', 'brand', 'for', 'sensitive', 'teeth']","[13916, 3284, 13916, 1435, 13916, 10922, 12376, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8252,Dentist recommended to stop the pain,"['Dentist', 'recommended', 'to', 'stop', 'the', 'pain']","[3284, 13916, 13916, 11869, 13916, 8642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8253,Stop the pain start the soothing,"['Stop', 'the', 'pain', 'start', 'the', 'soothing']","[11869, 13916, 8642, 11755, 13916, 11486, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8254,Start protecting your enamel today,"['Start', 'protecting', 'your', 'enamel', 'today']","[11755, 13916, 13916, 4073, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8255,Now sensitive teeth can be whiter teeth,"['Now', 'sensitive', 'teeth', 'can', 'be', 'whiter', 'teeth']","[13916, 10922, 12376, 1717, 987, 13916, 12376, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8256,Whitening that's fast and lasts,"['Whitening', ""that's"", 'fast', 'and', 'lasts']","[13916, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8257,An intense stain remover,"['An', 'intense', 'stain', 'remover']","[13916, 6495, 11712, 10160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8258,More than a whiter smile,"['More', 'than', 'a', 'whiter', 'smile']","[13916, 13916, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8259,Not just white Rembrandt white,"['Not', 'just', 'white', 'Rembrandt', 'white']","[13916, 13916, 13687, 13916, 13687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8260,White tonight,"['White', 'tonight']","[13687, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8261,Whiter teeth in 1 minute,"['Whiter', 'teeth', 'in', '1', 'minute']","[13916, 12376, 13916, 13916, 7748, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8262,For a superstar smile,"['For', 'a', 'superstar', 'smile']","[13916, 13916, 12103, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8263,Gives stains the brush off,"['Gives', 'stains', 'the', 'brush', 'off']","[13916, 11712, 13916, 1539, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8264,That's the Topol smile,"[""That's"", 'the', 'Topol', 'smile']","[13916, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8265,Use Forhan's for safe dental care,"['Use', ""Forhan's"", 'for', 'safe', 'dental', 'care']","[13267, 13916, 13916, 10589, 3283, 1780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8266,What moms want kids love,"['What', 'moms', 'want', 'kids', 'love']","[13916, 7843, 13546, 6803, 7246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8267,Get the plus with Plus White,"['Get', 'the', 'plus', 'with', 'Plus', 'White']","[5167, 13916, 13916, 13916, 13916, 13687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8268,Keep your teeth bright and fresh all day every day,"['Keep', 'your', 'teeth', 'bright', 'and', 'fresh', 'all', 'day', 'every', 'day']","[6780, 13916, 12376, 1490, 13916, 4947, 13916, 3100, 13916, 3100, 0, 0, 0, 0, 0, 0]"
8269,The baking soda toothpaste,"['The', 'baking', 'soda', 'toothpaste']","[13916, 13916, 11446, 12642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8270,It's the secret to deeper better clean,"[""It's"", 'the', 'secret', 'to', 'deeper', 'better', 'clean']","[13916, 13916, 10851, 13916, 13916, 13916, 2174, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8271,There is nothing else like it,"['There', 'is', 'nothing', 'else', 'like', 'it']","[13916, 13916, 13916, 13916, 7099, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8272,Fix the cause of sensitivity,"['Fix', 'the', 'cause', 'of', 'sensitivity']","[4678, 13916, 1861, 13916, 10923, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8273,It must be the baking soda,"['It', 'must', 'be', 'the', 'baking', 'soda']","[13916, 8024, 987, 13916, 13916, 11446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8274,Life opens up with a whiter smile,"['Life', 'opens', 'up', 'with', 'a', 'whiter', 'smile']","[7073, 8429, 13916, 13916, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8275,Life opens up with a healthier mouth,"['Life', 'opens', 'up', 'with', 'a', 'healthier', 'mouth']","[7073, 8429, 13916, 13916, 13916, 13916, 7958, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8276,Healthy beautiful smiles for life,"['Healthy', 'beautiful', 'smiles', 'for', 'life']","[5679, 1010, 11354, 13916, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8277,We re working to make cavities a thing of the past,"['We', 're', 'working', 'to', 'make', 'cavities', 'a', 'thing', 'of', 'the', 'past']","[13916, 13916, 13916, 13916, 7366, 1871, 13916, 12493, 13916, 13916, 8766, 0, 0, 0, 0, 0]"
8278,Look Mom no cavities,"['Look', 'Mom', 'no', 'cavities']","[7215, 7843, 13916, 1871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8279,The way to whiten,"['The', 'way', 'to', 'whiten']","[13916, 13601, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8280,Sleep your way to a whiter smile,"['Sleep', 'your', 'way', 'to', 'a', 'whiter', 'smile']","[11291, 13916, 13601, 13916, 13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8281,The most a toothpaste can do,"['The', 'most', 'a', 'toothpaste', 'can', 'do']","[13916, 13916, 13916, 12642, 1717, 3681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8282,Stronger teeth for the future,"['Stronger', 'teeth', 'for', 'the', 'future']","[13916, 12376, 13916, 13916, 5041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8283,We re aiming for zero cavities,"['We', 're', 'aiming', 'for', 'zero', 'cavities']","[13916, 13916, 13916, 13916, 13916, 1871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8284,Take Aim against cavities,"['Take', 'Aim', 'against', 'cavities']","[12275, 257, 13916, 1871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8285,Bringing mouths to life,"['Bringing', 'mouths', 'to', 'life']","[13916, 7958, 13916, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8286,Clean healthy teeth clean healthy breath,"['Clean', 'healthy', 'teeth', 'clean', 'healthy', 'breath']","[2174, 5679, 12376, 2174, 5679, 1461, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8287,The closer the better,"['The', 'closer', 'the', 'better']","[13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8288,Put your money where your mouth is,"['Put', 'your', 'money', 'where', 'your', 'mouth', 'is']","[9721, 13916, 7854, 13916, 13916, 7958, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8289,Close Up is for close ups,"['Close', 'Up', 'is', 'for', 'close', 'ups']","[2226, 13916, 13916, 13916, 2226, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8290,Maclean your teeth,"['Maclean', 'your', 'teeth']","[13916, 13916, 12376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8291,Bring out the natural whiteness,"['Bring', 'out', 'the', 'natural', 'whiteness']","[1497, 13916, 13916, 8085, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8292,Did you Maclean your teeth today,"['Did', 'you', 'Maclean', 'your', 'teeth', 'today']","[13916, 13916, 13916, 13916, 12376, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8293,Slow down time,"['Slow', 'down', 'time']","[11328, 13916, 12569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8294,Feel good protection,"['Feel', 'good', 'protection']","[4543, 5280, 9592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8295,Aquafresh Amazing,"['Aquafresh', 'Amazing']","[13916, 352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8296,Aquafresh yourself,"['Aquafresh', 'yourself']","[13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8297,I make brushing fun,"['I', 'make', 'brushing', 'fun']","[13916, 7366, 13916, 5008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8298,It's a brush of fresh air,"[""It's"", 'a', 'brush', 'of', 'fresh', 'air']","[13916, 13916, 1539, 13916, 4947, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8299,Take the feeling of clean to the Extreme,"['Take', 'the', 'feeling', 'of', 'clean', 'to', 'the', 'Extreme']","[12275, 13916, 4544, 13916, 2174, 13916, 13916, 4403, 0, 0, 0, 0, 0, 0, 0, 0]"
8300,A friendly reminder to floss,"['A', 'friendly', 'reminder', 'to', 'floss']","[13916, 4960, 10150, 13916, 4763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8301,A daily way to dazzling whiter teeth,"['A', 'daily', 'way', 'to', 'dazzling', 'whiter', 'teeth']","[13916, 3059, 13601, 13916, 3108, 13916, 12376, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8302,Whitening It's all we do,"['Whitening', ""It's"", 'all', 'we', 'do']","[13916, 13916, 13916, 13916, 3681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8303,Pearl Drops The whitening specialists,"['Pearl', 'Drops', 'The', 'whitening', 'specialists']","[8829, 13916, 13916, 13916, 11559, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8304,The toothpaste for teeth people,"['The', 'toothpaste', 'for', 'teeth', 'people']","[13916, 12642, 13916, 12376, 8886, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8305,Behold the fountain of youth,"['Behold', 'the', 'fountain', 'of', 'youth']","[1043, 13916, 4898, 13916, 13888, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8306,A firm foundation for healthy teeth,"['A', 'firm', 'foundation', 'for', 'healthy', 'teeth']","[13916, 4660, 4894, 13916, 5679, 12376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8307,Powering your smile,"['Powering', 'your', 'smile']","[13916, 13916, 11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8308,Teeth aren't white until they Gleem,"['Teeth', ""aren't"", 'white', 'until', 'they', 'Gleem']","[12376, 13916, 13687, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8309,Begin a great day the Babool way,"['Begin', 'a', 'great', 'day', 'the', 'Babool', 'way']","[1036, 13916, 5375, 3100, 13916, 13916, 13601, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8310,The sex appeal toothpaste,"['The', 'sex', 'appeal', 'toothpaste']","[13916, 10978, 508, 12642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8311,A gentle natural way to whiter teeth,"['A', 'gentle', 'natural', 'way', 'to', 'whiter', 'teeth']","[13916, 5149, 8085, 13601, 13916, 13916, 12376, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8312,We'll make sure you see the best,"[""We'll"", 'make', 'sure', 'you', 'see', 'the', 'best']","[13916, 7366, 12126, 13916, 10871, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8313,Let us take you away,"['Let', 'us', 'take', 'you', 'away']","[7040, 13916, 12275, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8314,Let us take you there,"['Let', 'us', 'take', 'you', 'there']","[7040, 13916, 12275, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8315,Travel your world with us,"['Travel', 'your', 'world', 'with', 'us']","[12772, 13916, 13820, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8316,The best that suits your needs,"['The', 'best', 'that', 'suits', 'your', 'needs']","[13916, 13916, 13916, 12047, 13916, 8112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8317,Putting New into Zealand,"['Putting', 'New', 'into', 'Zealand']","[13916, 8158, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8318,Taking the time since 1968,"['Taking', 'the', 'time', 'since', '1968']","[13916, 13916, 12569, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8319,We know 100 of New Zealand,"['We', 'know', '100', 'of', 'New', 'Zealand']","[13916, 6860, 13916, 13916, 8158, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8320,When you just have to get away Let us take you there,"['When', 'you', 'just', 'have', 'to', 'get', 'away', 'Let', 'us', 'take', 'you', 'there']","[13916, 13916, 13916, 5642, 13916, 5167, 13916, 7040, 13916, 12275, 13916, 13916, 0, 0, 0, 0]"
8321,We live it We love it We know it,"['We', 'live', 'it', 'We', 'love', 'it', 'We', 'know', 'it']","[13916, 7159, 13916, 13916, 7246, 13916, 13916, 6860, 13916, 0, 0, 0, 0, 0, 0, 0]"
8322,Bringing group travel to a higher standard,"['Bringing', 'group', 'travel', 'to', 'a', 'higher', 'standard']","[13916, 5434, 12772, 13916, 13916, 13916, 11732, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8323,The difference is Fenn Holidays,"['The', 'difference', 'is', 'Fenn', 'Holidays']","[13916, 3447, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8324,Motorcoach travel at its finest,"['Motorcoach', 'travel', 'at', 'its', 'finest']","[13916, 12772, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8325,Touring smart Touring safe,"['Touring', 'smart', 'Touring', 'safe']","[13916, 11345, 13916, 10589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8326,Symbol of satisfaction,"['Symbol', 'of', 'satisfaction']","[12218, 13916, 10664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8327,Punctuality Safety Comfort,"['Punctuality', 'Safety', 'Comfort']","[9684, 10592, 2360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8328,Traveling with the professionals,"['Traveling', 'with', 'the', 'professionals']","[13916, 13916, 13916, 9512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8329,Life is adventure let the adventure begin,"['Life', 'is', 'adventure', 'let', 'the', 'adventure', 'begin']","[7073, 13916, 183, 7040, 13916, 183, 1036, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8330,The route to relaxation,"['The', 'route', 'to', 'relaxation']","[13916, 10508, 13916, 10114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8331,Providing miles of smiles since 1949,"['Providing', 'miles', 'of', 'smiles', 'since', '1949']","[13916, 7703, 13916, 11354, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8332,Be first of choice,"['Be', 'first', 'of', 'choice']","[987, 4662, 13916, 2061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
